"distribution","sample_size","replications","method","global_ise","global_squared_bias","global_variance","boundary_ise","boundary_squared_bias","boundary_variance","finite_rate","mean_floor_ratio","minimum_density","maximum_mass_error"
"gamma_0.75",1000,30,"fixed-15pct",0.00800935397940015,0.00240562435989908,0.00560372961950107,0.00685770784468224,0.00230260733820975,0.00455510050647249,0,NA,2.36840057628249e-09,1.11022302462516e-16
"gamma_0.75",1000,30,"fixed-20pct",0.00800935397940015,0.00240562435989908,0.00560372961950107,0.00685770784468224,0.00230260733820975,0.00455510050647249,0,NA,2.36840057628249e-09,1.11022302462516e-16
"gamma_0.75",1000,30,"fixed-25pct",0.00800935397940015,0.00240562435989908,0.00560372961950107,0.00685770784468224,0.00230260733820975,0.00455510050647249,0,NA,2.36840057628249e-09,1.11022302462516e-16
"gamma_0.75",1000,30,"fixed-30pct",0.00800935397940015,0.00240562435989908,0.00560372961950107,0.00685770784468224,0.00230260733820975,0.00455510050647249,0,NA,2.36840057628249e-09,1.11022302462516e-16
"gamma_0.75",1000,30,"fixed-35pct",0.00800935397940015,0.00240562435989908,0.00560372961950107,0.00685770784468224,0.00230260733820975,0.00455510050647249,0,NA,2.36840057628249e-09,1.11022302462516e-16
"gamma_0.75",1000,30,"fixed-40pct",0.00800935397940015,0.00240562435989908,0.00560372961950107,0.00685770784468224,0.00230260733820975,0.00455510050647249,0,NA,2.36840057628249e-09,1.11022302462516e-16
"gamma_0.75",1000,30,"fixed-50pct",0.00800935397940015,0.00240562435989908,0.00560372961950107,0.00685770784468224,0.00230260733820975,0.00455510050647249,0,NA,2.36840057628249e-09,1.11022302462516e-16
"gamma_0.75",1000,30,"fixed-75pct",0.00800935397940015,0.00240562435989908,0.00560372961950107,0.00685770784468224,0.00230260733820975,0.00455510050647249,0,NA,2.36840057628249e-09,1.11022302462516e-16
"gamma_0.75",1000,30,"fixed-100pct",0.00800935397940015,0.00240562435989908,0.00560372961950107,0.00685770784468224,0.00230260733820975,0.00455510050647249,0,NA,2.36840057628249e-09,1.11022302462516e-16
"gamma_0.75",1000,30,"shrinking",0.00800935397940015,0.00240562435989908,0.00560372961950107,0.00685770784468224,0.00230260733820975,0.00455510050647249,0,NA,2.36840057628249e-09,1.11022302462516e-16
