"distribution","sample_size","replications","method","global_ise","global_squared_bias","global_variance","left_ise","left_squared_bias","left_variance","right_ise","right_squared_bias","right_variance","lower_accuracy","upper_accuracy","lower_finite_rate","upper_finite_rate","minimum_density","maximum_mass_error"
"beta-0.75-2",100,100,"single-2-95",0.0973258478625205,0.0110919402209551,0.0862339076415654,0.0856409967361105,0.0109161650043089,0.0747248317318016,0.00034650333943378,2.17330109423369e-06,0.000344330038339546,0.82,0.94,0.18,0.06,0,1.11022302462516e-16
"beta-0.75-2",100,100,"median-90",0.104073466961675,0.0174343600649418,0.0866391068967335,0.092400973768718,0.0171693962689645,0.0752315774997535,0.000336932160326384,1.85192848496392e-06,0.00033508023184142,0.47,0.97,0.53,0.03,0,1.11022302462516e-16
"beta-0.75-2",100,100,"vote-90",0.104073466961675,0.0174343600649418,0.0866391068967335,0.092400973768718,0.0171693962689645,0.0752315774997535,0.000336932160326384,1.85192848496392e-06,0.00033508023184142,0.47,0.97,0.53,0.03,0,1.11022302462516e-16
"beta-0.75-2",100,100,"vote-95",0.107767494152978,0.0259133115617868,0.081854182591191,0.0958601247621016,0.0255811216121714,0.0702790031499302,0.000376011903308601,3.97172603832936e-06,0.000372040177270272,0.28,0.91,0.72,0.09,0,1.11022302462516e-16
"beta-0.75-2",1000,100,"kde-current",0.0190167719805673,0.00748364876693982,0.0115331232136275,0.0176652908776476,0.00746281474640339,0.0102024761312443,4.61718908311821e-05,4.11391362501522e-07,4.57604994686805e-05,NA,NA,NA,NA,0,2.22044604925031e-16
"beta-0.75-2",1000,100,"single-95",0.0216750884821827,0.00822517975230909,0.0134499087298736,0.0203126662836491,0.00820358015740727,0.0121090861262418,4.98199501522167e-05,5.36008590649573e-07,4.92839415615672e-05,0.87,0.97,0.13,0.03,0,2.22044604925031e-16
"beta-0.75-2",1000,100,"single-1.5-95",0.0202283486798806,0.00777517646021835,0.0124531722196622,0.0188772549433714,0.00775421341037295,0.0111230415329985,4.62140569238117e-05,4.09161767609483e-07,4.58048951562022e-05,0.92,1,0.08,0,0,2.22044604925031e-16
"beta-0.75-2",1000,100,"single-2-95",0.0199825050901971,0.00766579347108848,0.0123167116191086,0.0186283657021565,0.00764487387625293,0.0109834918259035,4.62170248392874e-05,4.09703777269343e-07,4.5807321062018e-05,0.94,1,0.06,0,0,2.22044604925031e-16
"beta-0.75-2",1000,100,"median-90",0.0233981416545154,0.0088848493319451,0.0145132923225703,0.0220381666775545,0.00886288556872924,0.0131752811088253,4.62377835826615e-05,4.02073096310369e-07,4.58357104863512e-05,0.78,1,0.22,0,0,2.22044604925031e-16
"beta-0.75-2",1000,100,"vote-90",0.0233981416545154,0.0088848493319451,0.0145132923225703,0.0220381666775545,0.00886288556872924,0.0131752811088253,4.62377835826615e-05,4.02073096310369e-07,4.58357104863512e-05,0.78,1,0.22,0,0,2.22044604925031e-16
"beta-0.75-2",1000,100,"vote-95",0.0257620203679631,0.00985650758645671,0.0159055127815063,0.0244022726252111,0.00983354998846533,0.0145687226367458,4.63290826975616e-05,3.98468524490173e-07,4.59306141730714e-05,0.68,1,0.32,0,0,2.22044604925031e-16
"beta-0.75-2",2000,100,"kde-current",0.01508555489414,0.00850923175013998,0.00657632314399997,0.0143894041053101,0.0084756555891786,0.00591374851613146,2.29872314005426e-05,1.83641597051423e-07,2.28035898034912e-05,NA,NA,NA,NA,0,2.22044604925031e-16
"beta-0.75-2",2000,100,"single-95",0.0178927623292423,0.00931447188432378,0.00857829044491854,0.0171909169521438,0.00928145051848341,0.00790946643366039,2.30109518469592e-05,1.73395168733203e-07,2.2837556678226e-05,0.81,1,0.19,0,0,1.11022302462516e-16
"beta-0.75-2",2000,100,"single-1.5-95",0.0164612710663761,0.0087588645792512,0.00770240648712489,0.0157624921763759,0.00872563247402369,0.00703685970235222,2.29791810666458e-05,1.79354615629126e-07,2.27998264510167e-05,0.9,1,0.1,0,0,1.11022302462516e-16
"beta-0.75-2",2000,100,"single-2-95",0.0157503979265844,0.0085827190900329,0.00716767883655155,0.0150519078419661,0.0085493769885552,0.00650253085341095,2.29816741670793e-05,1.81112470633985e-07,2.28005616964453e-05,0.94,1,0.06,0,0,1.11022302462516e-16
"beta-0.75-2",2000,100,"median-90",0.017694420737506,0.00919636996660086,0.00849805077090512,0.0169936481569977,0.00916327791737292,0.00783037023962477,2.30001070652951e-05,1.74838196823934e-07,2.28252688684712e-05,0.83,1,0.17,0,0,1.11022302462516e-16
"beta-0.75-2",2000,100,"vote-90",0.017694420737506,0.00919636996660086,0.00849805077090512,0.0169936481569977,0.00916327791737292,0.00783037023962477,2.30001070652951e-05,1.74838196823934e-07,2.28252688684712e-05,0.83,1,0.17,0,0,1.11022302462516e-16
"beta-0.75-2",2000,100,"vote-95",0.0189734607854946,0.00967388755222815,0.00929957323326641,0.0182724507734024,0.00964087574067331,0.00863157503272911,2.30170026525439e-05,1.71432647905287e-07,2.28455700046386e-05,0.77,1,0.23,0,0,1.11022302462516e-16
"beta-0.75-0.75",100,100,"kde-current",0.0701482728754187,0.00155813534598916,0.0685901375294296,0.0304626880324348,0.000949055694439168,0.0295136323379957,0.0325734665545723,0.000599057090266889,0.0319744094643054,NA,NA,NA,NA,1.00337510605646e-53,1.11022302462516e-16
"beta-0.75-0.75",100,100,"single-95",0.0633027826564518,0.00155650647026388,0.0617462761861879,0.0265330555588591,0.000844633122721144,0.025688422436138,0.0297734339887635,0.000697285110476889,0.0290761488782866,0.71,0.7,0.29,0.3,2.70295283383755e-08,1.11022302462516e-16
"beta-0.75-0.75",100,100,"single-1.5-95",0.0653837942836675,0.00156500048051562,0.0638187938031519,0.0279714803616632,0.000867686562138423,0.0271037937995248,0.0303574143960939,0.000683053509164122,0.0296743608869298,0.73,0.76,0.27,0.24,5.68124764878753e-08,1.11022302462516e-16
"beta-0.75-0.75",100,100,"single-2-95",0.0664838619258033,0.00163330495450213,0.0648505569713012,0.0291088443155113,0.000933175566093991,0.0281756687494173,0.0303121944539524,0.000686289887512471,0.0296259045664399,0.75,0.79,0.25,0.21,2.70295283383755e-08,1.11022302462516e-16
"beta-0.75-0.75",100,100,"median-90",0.0668447189934785,0.00213687174922969,0.0647078472442488,0.028657209378944,0.00148416979983781,0.0271730395791061,0.03112554574768,0.000642603244003097,0.0304829425036769,0.46,0.51,0.54,0.49,1.74518520713497e-07,1.11022302462516e-16
"beta-0.75-0.75",100,100,"vote-90",0.0668447189934785,0.00213687174922969,0.0647078472442488,0.028657209378944,0.00148416979983781,0.0271730395791061,0.03112554574768,0.000642603244003097,0.0304829425036769,0.46,0.51,0.54,0.49,1.74518520713497e-07,1.11022302462516e-16
"beta-0.75-0.75",100,100,"vote-95",0.0651942669000884,0.00390161803235702,0.0612926488677314,0.0280949089361279,0.00231658005540894,0.025778328880719,0.0300949288785869,0.00157248430593897,0.0285224445726479,0.34,0.31,0.66,0.69,7.59886136601248e-06,1.11022302462516e-16
